date,BAC,C,CNC,CSX,CVS,DAL,FIS,TFC,USB,WFC
20241002,39.23,62.03,72.62,34.17,62.24,48.4,83.46,41.77,44.25,55.3
20241003,39.25,61.31,72.04,34.12,62.92,47.46,83.71,41.49,43.98,54.98
20241004,40.11,62.64,72.08,34.49,64.59,49.28,84.63,42.39,44.7,56.96
20241007,39.96,62.6,71.49,33.65,65.25,49.47,84.3,42,44.47,57.16
20241008,39.93,63.24,71.34,33.87,65.9,50.62,85.91,42.13,44.26,57.3
20241009,40.19,64.12,72.35,34.26,65.97,50.98,86.37,42.63,45.1,57.54
20241010,39.97,63.48,71.62,34.53,66.85,50.29,86.49,42.49,44.94,57.75
20241011,41.95,65.74,72.44,34.96,66.63,51.33,86.75,43.26,46.26,60.99
20241014,41.91,66.01,72.9,35.29,67.46,53.18,87.79,43.59,47.12,62.16
20241015,42.14,62.64,68.48,35.5,65,52.73,89.05,43.91,47,63.03
20241016,42.8,64.25,69.3,35.47,65.02,56.31,89.79,44.53,49.21,63.89
20241017,42.6,63.97,63,33.09,63.67,55.26,89.92,42.95,49.97,64.38
20241018,42.32,62.85,62.02,34.12,60.34,55.8,90.95,43.67,49.16,64.36
20241021,41.76,61.83,61,33.66,58.17,55.1,90.66,42.43,47.92,64.02
20241022,42.3,63.56,61.06,33.85,56.85,54.8,89.51,43.39,48.03,64.81
20241023,42.34,63.1,59.82,33.59,56.78,54.65,89.9,43.44,48.53,64.56
20241024,42.65,63,61.62,33.1,56.12,54.77,90.33,43.42,48.45,65.43
20241025,41.89,61.76,64.22,33.27,56.49,54.12,89.72,42.63,47.74,64.53
20241028,42.62,64.16,61.65,33.26,57.36,55.38,90.87,43.29,48.59,65.61
20241029,42.53,64.69,60.62,33.25,56.25,57.34,90.01,43.09,48.22,65.3
20241030,42.31,64.5,61.78,33.54,56.39,58.46,90.72,43.31,48.68,65.41
20241031,41.82,64.17,62.26,33.64,56.46,57.22,89.73,43.05,48.31,64.92
20241101,41.76,63.71,63.52,33.39,55.81,58.39,89.1,42.82,47.84,64.68
20241104,41.33,62.35,63.82,33.36,54.65,56.89,89.7,42.07,47.19,63.7
20241105,41.88,63.67,64.8,34.02,55.34,58.29,86.57,42.32,47.61,64.07
20241106,45.41,69.03,62.56,36.88,61.61,62.32,86.44,47,51.26,72.47
20241107,44.77,68.11,62.52,35.56,57.07,60.43,86.68,46.2,49.56,69.82
20241108,45.13,68.63,60.15,36,55.54,61.05,88.07,45.22,50.21,70.04
20241111,46.08,69.8,60.75,36.52,55.81,63.56,88.72,46.44,51.04,72.56
20241112,45.86,69.02,58.6,36.13,54.03,64.05,87.62,46.66,50.76,72.6
20241113,45.87,68.89,58.04,36.48,54.27,64.46,88.88,46.51,51.17,72.77
20241114,45.9,68.15,58.68,35.63,55.09,64.85,88.46,46.25,50.31,72.8
20241115,46.75,68.76,57.46,35.13,53.19,64.07,87.82,46.55,49.9,74.34
20241118,46.72,69,58.83,34.97,56.05,63.24,88.42,46.79,50.61,74.09
20241119,46.41,68.6,57.81,34.6,55.77,64.75,86.08,46.63,50.4,73.43
20241120,46.06,68.28,59.1,34.57,56.83,63.64,85.9,46.18,50.74,73.58
20241121,46.46,68.95,60.35,35.34,57.1,63.34,85.5,46.81,51.39,74.83
20241122,47,69.84,60.37,35.78,58.01,63.34,86.08,47.96,52.49,75.96
20241125,47.5,70.75,61.43,36.62,60.08,64.49,84.41,48.1,53.63,76.9
20241126,47.75,69.75,60,36.69,59.01,64.14,84.94,47.7,53.66,77.35
20241127,47.77,70.16,59.93,36.58,59.96,63.62,85.55,47.75,53.48,77.21
20241129,47.51,70.87,60,36.55,59.85,63.82,85.3,47.68,53.29,76.17
20241202,47.04,71.39,60.06,36.34,59.08,63.41,85.13,46.98,52.77,75.28
20241203,46.82,71.42,59.41,36,59.19,62.57,85.24,46.43,52.1,74.14
20241204,46.37,71.5,59.77,35.3,58.05,64.26,85.25,46.22,52.01,73.06
20241205,47,72.23,57.95,34.62,56.86,65.77,85.49,47.17,52.12,73.66
20241206,46.75,72.15,56.76,34.45,55.29,64.53,85.34,47.26,52.18,74.33
20241209,45.91,71.86,58.49,33.97,56.07,62.26,83.78,46.8,51.31,72.62
20241210,45.75,72.5,56.71,34.17,55.15,62.77,84.83,46.46,51.57,72.05
20241211,46.08,71.96,56.9,33.61,51.76,63.48,85.28,45.66,51.32,71.6
20241212,46.08,71.43,58,33.68,49.58,61.63,84.91,45.72,51.1,70.8
20241213,45.67,71.01,59.42,33.24,49.37,61.52,84.1,45.78,51.03,70.44
20241216,45.47,71.49,59.17,32.94,46.6,61.05,83.05,45.29,51.36,71.98
20241217,45.05,71.12,57.81,32.93,44.04,60.81,83.17,45.13,49.98,70.81
20241218,43.5,68.12,59.49,32.08,45.28,58.88,80.34,43.11,47.61,68.76
20241219,43.38,68.42,59.71,31.58,43.78,60.38,80.14,42.55,47.41,68.85
20241220,44.17,69.19,59.58,31.85,44.36,60.93,81.46,43.32,47.92,70.34
20241223,43.89,69.77,60.25,32.22,44.14,61.52,81.4,43.54,48.32,70.54
20241224,44.38,71,60.83,32.57,44.25,62.56,82.34,43.99,48.83,71.59
20241226,44.55,71.35,60.91,32.52,44.92,62.4,82.26,44,49.01,71.76
20241227,44.34,71,60.6,32.46,44.49,61.26,81.6,43.67,48.49,71.11
20241230,43.91,70.39,60.36,32.15,43.94,60.72,80.59,43.37,48.25,70.41
